orderId,customerId,customerName,orderDate,totalAmount,status,eventId
O-00125,C-01640,Vo Van Linh,2026-06-21,4956000,SUCCESS,EV-009
O-00126,C-01703,Nguyen Van Dung,2026-07-07,1659000,SUCCESS,EV-006
O-00127,C-00805,Phan Van Cuong,2026-06-29,3508000,SUCCESS,EV-010
O-00128,C-00081,Dang Van Son,2026-06-22,1464000,SUCCESS,EV-007
O-00129,C-01665,Pham Van Dung,2026-06-26,1161000,SUCCESS,EV-008
O-00130,C-01913,Vu Van Phuc,2026-07-02,4883000,SUCCESS,EV-006
O-00131,C-01714,Pham Van Khanh,2026-07-03,1436000,SUCCESS,EV-003
O-00132,C-00988,Bui Van Phuc,2026-06-24,1748000,FAILED,EV-003
O-00133,C-00584,Pham Van Son,2026-07-02,4824000,SUCCESS,EV-004
O-00134,C-01109,Dang Van Nam,2026-07-16,3767000,SUCCESS,EV-006
O-00135,C-01305,Nguyen Van Hieu,2026-06-30,3123000,SUCCESS,EV-004
O-00136,C-00155,Phan Van Khanh,2026-07-16,4583000,SUCCESS,EV-005
O-00137,C-01340,Bui Van Thanh,2026-07-07,2241000,SUCCESS,EV-008
O-00138,C-00878,Vo Van Dung,2026-06-26,2058000,SUCCESS,EV-009
O-00139,C-01478,Tran Van Dung,2026-07-15,4511000,SUCCESS,EV-009
O-00140,C-00112,Hoang Van Anh,2026-06-25,2867000,SUCCESS,EV-009
O-00141,C-00554,Hoang Van Trung,2026-07-03,786000,SUCCESS,EV-004
O-00142,C-01195,Bui Van Hung,2026-06-21,2454000,SUCCESS,EV-003
O-00143,C-00294,Nguyen Van Minh,2026-06-25,2614000,FAILED,EV-009
O-00144,C-01504,Pham Van Anh,2026-07-10,3007000,SUCCESS,EV-001
O-00145,C-00096,Tran Van Trung,2026-06-20,2618000,FAILED,EV-008
O-00146,C-00360,Phan Van Khanh,2026-07-12,2498000,FAILED,EV-009
O-00147,C-00886,Dang Van Minh,2026-06-21,1245000,FAILED,EV-001
O-00148,C-00312,Vu Van Khanh,2026-06-19,1319000,SUCCESS,EV-006
O-00149,C-01985,Phan Van Anh,2026-07-03,2683000,SUCCESS,EV-001
O-00150,C-00029,Pham Van Phuc,2026-07-05,4572000,SUCCESS,EV-010
O-00151,C-01387,Le Van Binh,2026-07-03,4821000,SUCCESS,EV-002
O-00152,C-00052,Phan Van Son,2026-07-04,3766000,SUCCESS,EV-007
O-00153,C-01903,Pham Van Dung,2026-06-19,4987000,FAILED,EV-009
O-00154,C-01496,Pham Van Cuong,2026-07-16,4127000,SUCCESS,EV-002
O-00155,C-01372,Bui Van Dung,2026-07-14,2480000,FAILED,EV-003
O-00156,C-00057,Vo Van Khanh,2026-06-21,2282000,SUCCESS,EV-004
O-00157,C-00204,Nguyen Van Dung,2026-06-23,3490000,SUCCESS,EV-005
O-00158,C-00595,Nguyen Van Khanh,2026-06-23,1458000,SUCCESS,EV-009
O-00159,C-00877,Tran Van Phuc,2026-07-11,4163000,SUCCESS,EV-001
O-00160,C-01781,Phan Van Quang,2026-06-27,3821000,SUCCESS,EV-001
O-00161,C-00146,Bui Van Son,2026-06-29,1665000,SUCCESS,EV-006
O-00162,C-01483,Pham Van Khanh,2026-06-21,417000,SUCCESS,EV-010
O-00163,C-00892,Bui Van Linh,2026-07-01,1620000,FAILED,EV-010
O-00164,C-01144,Vo Van Quang,2026-07-10,220000,SUCCESS,EV-010
O-00165,C-01689,Tran Van Hieu,2026-07-12,672000,SUCCESS,EV-009
O-00166,C-01407,Dang Van Linh,2026-07-13,4438000,SUCCESS,EV-001
O-00167,C-00932,Tran Van Phuc,2026-06-22,3812000,SUCCESS,EV-003
O-00168,C-01941,Le Van Son,2026-07-03,3117000,SUCCESS,EV-007
O-00169,C-00717,Tran Van Khanh,2026-06-24,4897000,SUCCESS,EV-010
O-00170,C-00251,Vu Van Khanh,2026-07-18,600000,SUCCESS,EV-001
O-00171,C-00426,Bui Van Khanh,2026-06-25,4796000,SUCCESS,EV-010
O-00172,C-00963,Hoang Van Khanh,2026-07-07,2113000,SUCCESS,EV-010
O-00173,C-00707,Bui Van Anh,2026-07-16,3110000,SUCCESS,EV-002
O-00174,C-00584,Pham Van Son,2026-06-21,2178000,SUCCESS,EV-009
O-00175,C-00352,Bui Van Phuc,2026-07-02,4289000,SUCCESS,EV-001
O-00176,C-00041,Bui Van Binh,2026-07-05,4630000,SUCCESS,EV-008
O-00177,C-01473,Hoang Van Hung,2026-07-15,1915000,SUCCESS,EV-004
O-00178,C-01443,Tran Van Khanh,2026-07-05,1562000,SUCCESS,EV-010
O-00179,C-00620,Le Van Anh,2026-07-14,2376000,SUCCESS,EV-005
O-00180,C-01389,Nguyen Van Son,2026-07-06,1620000,SUCCESS,EV-004
O-00181,C-01505,Tran Van Anh,2026-06-20,2633000,SUCCESS,EV-006
O-00182,C-00135,Le Van Trung,2026-07-05,646000,SUCCESS,EV-008
O-00183,C-01322,Le Van Dung,2026-06-26,2965000,SUCCESS,EV-002
O-00184,C-00759,Dang Van Minh,2026-07-13,594000,SUCCESS,EV-007
O-00185,C-01761,Nguyen Van Thanh,2026-07-15,2012000,SUCCESS,EV-002
O-00186,C-01342,Pham Van Dung,2026-07-10,3812000,SUCCESS,EV-004
O-00187,C-01028,Pham Van Khanh,2026-07-18,1688000,SUCCESS,EV-001
O-00188,C-01272,Phan Van Cuong,2026-06-26,2269000,SUCCESS,EV-006
O-00189,C-00054,Vu Van Son,2026-07-04,302000,SUCCESS,EV-009
O-00190,C-01814,Nguyen Van Thanh,2026-07-01,4080000,SUCCESS,EV-002
O-00191,C-01547,Dang Van Anh,2026-06-30,1033000,SUCCESS,EV-005
O-00192,C-01165,Nguyen Van Hung,2026-07-17,4039000,SUCCESS,EV-002
O-00193,C-01999,Dang Van Trung,2026-06-26,1551000,SUCCESS,EV-005
O-00194,C-01010,Vo Van Son,2026-06-23,2606000,FAILED,EV-005
O-00195,C-01484,Vo Van Khanh,2026-07-16,3048000,SUCCESS,EV-008
O-00196,C-01383,Vu Van Nam,2026-07-06,1063000,SUCCESS,EV-007
O-00197,C-01759,Hoang Van Hung,2026-07-01,752000,SUCCESS,EV-009
O-00198,C-01785,Vu Van Son,2026-07-04,1882000,SUCCESS,EV-008
O-00199,C-00216,Nguyen Van Phuc,2026-06-30,1314000,SUCCESS,EV-002
O-00200,C-01842,Dang Van Son,2026-06-27,4837000,FAILED,EV-006
O-00201,C-01867,Nguyen Van Cuong,2026-06-28,2209000,SUCCESS,EV-007
O-00202,C-01624,Bui Van Cuong,2026-07-13,3960000,SUCCESS,EV-007
O-00203,C-00968,Bui Van Binh,2026-07-10,623000,SUCCESS,EV-010
O-00204,C-00782,Vu Van Minh,2026-07-14,2752000,SUCCESS,EV-009
O-00205,C-00513,Le Van Hung,2026-07-11,1941000,SUCCESS,EV-002
O-00206,C-01802,Dang Van Binh,2026-06-27,361000,SUCCESS,EV-005
O-00207,C-01698,Bui Van Phuc,2026-06-22,2780000,SUCCESS,EV-009
O-00208,C-00819,Pham Van Trung,2026-07-08,3901000,SUCCESS,EV-009
O-00209,C-01367,Tran Van Thanh,2026-07-16,4352000,FAILED,EV-009
O-00210,C-00520,Vu Van Hieu,2026-06-22,1694000,SUCCESS,EV-008
O-00211,C-01717,Phan Van Anh,2026-07-04,3844000,FAILED,EV-008
O-00212,C-00477,Nguyen Van Son,2026-06-28,4576000,SUCCESS,EV-005
O-00213,C-01578,Dang Van Son,2026-06-26,3880000,FAILED,EV-009
O-00214,C-01920,Tran Van Son,2026-07-06,2558000,SUCCESS,EV-004
O-00215,C-01724,Dang Van Cuong,2026-07-14,2303000,SUCCESS,EV-007
O-00216,C-01632,Nguyen Van Son,2026-07-04,347000,FAILED,EV-008
O-00217,C-00150,Pham Van Trung,2026-06-23,580000,FAILED,EV-006
O-00218,C-01107,Dang Van Linh,2026-07-13,351000,SUCCESS,EV-009
O-00219,C-01823,Bui Van Dung,2026-07-06,823000,SUCCESS,EV-007
O-00220,C-00721,Dang Van Thanh,2026-07-12,895000,SUCCESS,EV-006
O-00221,C-01676,Dang Van Nam,2026-06-27,3622000,SUCCESS,EV-004
O-00222,C-00273,Hoang Van Phuc,2026-06-23,4647000,FAILED,EV-009
O-00223,C-01750,Bui Van Son,2026-06-30,3028000,SUCCESS,EV-008
O-00224,C-00960,Bui Van Phuc,2026-06-24,608000,SUCCESS,EV-003
O-00225,C-01619,Vo Van Khanh,2026-06-26,2225000,FAILED,EV-006
O-00226,C-00152,Le Van Anh,2026-06-29,755000,SUCCESS,EV-003
O-00227,C-00010,Pham Van Thanh,2026-07-08,758000,SUCCESS,EV-009
O-00228,C-01116,Vo Van Trung,2026-07-09,4562000,SUCCESS,EV-006
O-00229,C-01809,Bui Van Anh,2026-07-17,2913000,SUCCESS,EV-001
O-00230,C-00396,Le Van Cuong,2026-07-09,3978000,SUCCESS,EV-001
O-00231,C-01432,Bui Van Trung,2026-06-29,4810000,FAILED,EV-004
O-00232,C-01519,Vo Van Binh,2026-07-05,2566000,SUCCESS,EV-004
O-00233,C-01162,Nguyen Van Minh,2026-06-30,4084000,SUCCESS,EV-008
O-00234,C-00734,Vu Van Thanh,2026-06-24,1493000,SUCCESS,EV-006
O-00235,C-00128,Nguyen Van Hung,2026-07-02,3555000,FAILED,EV-006
O-00236,C-00084,Pham Van Dung,2026-07-14,1974000,FAILED,EV-003
O-00237,C-01858,Dang Van Son,2026-07-04,3479000,FAILED,EV-001
O-00238,C-00818,Nguyen Van Minh,2026-07-02,3242000,SUCCESS,EV-004
O-00239,C-01098,Vu Van Son,2026-06-24,3949000,SUCCESS,EV-010
O-00240,C-01251,Phan Van Minh,2026-06-21,2189000,FAILED,EV-010
O-00241,C-00676,Phan Van Hieu,2026-07-09,1514000,SUCCESS,EV-006
O-00242,C-01265,Vo Van Quang,2026-06-24,757000,SUCCESS,EV-008
O-00243,C-01782,Vu Van Cuong,2026-07-07,4604000,SUCCESS,EV-007
O-00244,C-01699,Vo Van Minh,2026-07-09,2975000,SUCCESS,EV-010
O-00245,C-01164,Nguyen Van Son,2026-06-19,3113000,SUCCESS,EV-004
O-00246,C-00758,Bui Van Nam,2026-07-04,1377000,SUCCESS,EV-007
O-00247,C-00447,Phan Van Binh,2026-06-25,3345000,SUCCESS,EV-006
O-00248,C-01192,Bui Van Thanh,2026-06-24,4614000,FAILED,EV-005
O-00249,C-00958,Bui Van Nam,2026-07-15,4103000,SUCCESS,EV-001
O-00250,C-01579,Pham Van Hung,2026-07-10,1393000,FAILED,EV-006
O-00251,C-01847,Nguyen Van Linh,2026-06-22,4934000,SUCCESS,EV-005
O-00252,C-00632,Tran Van Phuc,2026-07-04,4487000,SUCCESS,EV-004
O-00253,C-01099,Bui Van Dung,2026-07-05,2764000,SUCCESS,EV-005
O-00254,C-01256,Vu Van Linh,2026-07-01,4566000,SUCCESS,EV-001
O-00255,C-01505,Tran Van Anh,2026-06-19,1518000,SUCCESS,EV-010
O-00256,C-01913,Vu Van Phuc,2026-07-07,3144000,SUCCESS,EV-001
O-00257,C-01554,Le Van Hieu,2026-07-09,993000,SUCCESS,EV-002
O-00258,C-00365,Dang Van Binh,2026-07-04,4641000,SUCCESS,EV-008
O-00259,C-01877,Phan Van Anh,2026-06-29,1790000,SUCCESS,EV-005
O-00260,C-01650,Pham Van Cuong,2026-07-14,2663000,SUCCESS,EV-008
O-00261,C-00724,Vu Van Son,2026-07-04,1562000,SUCCESS,EV-006
O-00262,C-00555,Tran Van Cuong,2026-07-02,4959000,SUCCESS,EV-004
O-00263,C-01346,Tran Van Hieu,2026-07-06,1268000,SUCCESS,EV-009
O-00264,C-01356,Tran Van Phuc,2026-06-23,1332000,SUCCESS,EV-005
O-00265,C-00740,Nguyen Van Trung,2026-07-11,3382000,SUCCESS,EV-003
O-00266,C-01398,Vo Van Minh,2026-06-27,583000,SUCCESS,EV-001
O-00267,C-00783,Phan Van Hieu,2026-06-30,2422000,FAILED,EV-002
O-00268,C-01168,Hoang Van Nam,2026-07-16,4617000,SUCCESS,EV-009
O-00269,C-00233,Pham Van Nam,2026-07-04,2904000,SUCCESS,EV-005
O-00270,C-00111,Vo Van Dung,2026-07-04,1211000,SUCCESS,EV-003
O-00271,C-00056,Vu Van Phuc,2026-07-09,2033000,FAILED,EV-002
O-00272,C-01510,Dang Van Khanh,2026-06-26,4495000,SUCCESS,EV-009
O-00273,C-00668,Nguyen Van Phuc,2026-07-07,3647000,SUCCESS,EV-006
O-00274,C-00573,Pham Van Binh,2026-07-17,654000,SUCCESS,EV-009
O-00275,C-01247,Hoang Van Trung,2026-06-29,3004000,SUCCESS,EV-004
O-00276,C-01934,Pham Van Minh,2026-06-27,3224000,SUCCESS,EV-009
O-00277,C-01963,Dang Van Trung,2026-06-20,1827000,SUCCESS,EV-002
O-00278,C-00508,Phan Van Minh,2026-06-23,2798000,SUCCESS,EV-006
O-00279,C-01231,Bui Van Quang,2026-07-09,976000,SUCCESS,EV-003
O-00280,C-00770,Bui Van Hieu,2026-07-15,171000,SUCCESS,EV-009
O-00281,C-00189,Phan Van Son,2026-07-11,4500000,SUCCESS,EV-003
O-00282,C-01196,Bui Van Hieu,2026-06-22,3094000,FAILED,EV-005
O-00283,C-00994,Vo Van Thanh,2026-07-13,394000,SUCCESS,EV-009
O-00284,C-01004,Pham Van Thanh,2026-06-21,1547000,SUCCESS,EV-002
O-00285,C-00946,Dang Van Binh,2026-07-09,1503000,SUCCESS,EV-007
O-00286,C-00967,Tran Van Anh,2026-07-14,891000,SUCCESS,EV-007
O-00287,C-00711,Pham Van Khanh,2026-07-04,4747000,SUCCESS,EV-001
O-00288,C-00828,Bui Van Phuc,2026-07-07,4977000,SUCCESS,EV-006
O-00289,C-01383,Vu Van Nam,2026-06-28,3051000,SUCCESS,EV-007
O-00290,C-01472,Vo Van Linh,2026-06-29,2636000,SUCCESS,EV-006
O-00291,C-00490,Nguyen Van Minh,2026-07-09,477000,SUCCESS,EV-003
O-00292,C-00088,Phan Van Dung,2026-06-29,1693000,SUCCESS,EV-010
O-00293,C-01760,Pham Van Nam,2026-07-16,4539000,SUCCESS,EV-007
O-00294,C-01364,Nguyen Van Thanh,2026-06-22,3786000,SUCCESS,EV-003
O-00295,C-00511,Phan Van Hung,2026-07-16,3624000,SUCCESS,EV-004
O-00296,C-00923,Vu Van Nam,2026-06-21,3776000,SUCCESS,EV-003
O-00297,C-01684,Le Van Cuong,2026-07-04,4203000,SUCCESS,EV-009
O-00298,C-00276,Le Van Hung,2026-07-07,4093000,SUCCESS,EV-002
O-00299,C-01452,Hoang Van Quang,2026-06-19,2897000,SUCCESS,EV-004
O-00300,C-00397,Dang Van Trung,2026-07-02,1029000,SUCCESS,EV-002
O-00301,C-01546,Vu Van Linh,2026-07-03,3824000,SUCCESS,EV-010
O-00302,C-00111,Vo Van Dung,2026-06-28,4118000,SUCCESS,EV-009
O-00303,C-00792,Pham Van Anh,2026-07-01,2179000,SUCCESS,EV-010
O-00304,C-00317,Vo Van Khanh,2026-07-16,272000,FAILED,EV-010
O-00305,C-01476,Dang Van Quang,2026-07-14,626000,SUCCESS,EV-005
O-00306,C-00564,Hoang Van Nam,2026-07-18,4028000,SUCCESS,EV-005
O-00307,C-01695,Bui Van Thanh,2026-07-11,2945000,SUCCESS,EV-007
O-00308,C-01444,Phan Van Quang,2026-07-15,4304000,SUCCESS,EV-003
O-00309,C-01804,Phan Van Linh,2026-07-03,2722000,SUCCESS,EV-004
O-00310,C-01554,Le Van Hieu,2026-07-07,4648000,SUCCESS,EV-008
O-00311,C-00949,Dang Van Son,2026-07-07,1245000,SUCCESS,EV-010
O-00312,C-01772,Pham Van Hieu,2026-07-12,4577000,SUCCESS,EV-007
O-00313,C-01328,Tran Van Quang,2026-06-19,405000,SUCCESS,EV-010
O-00314,C-01464,Vu Van Thanh,2026-06-30,1989000,SUCCESS,EV-002
O-00315,C-00745,Hoang Van Quang,2026-06-20,4839000,SUCCESS,EV-001
O-00316,C-01296,Phan Van Dung,2026-06-19,3844000,SUCCESS,EV-004
O-00317,C-00950,Phan Van Khanh,2026-06-19,2697000,SUCCESS,EV-008
O-00318,C-01614,Vo Van Anh,2026-06-23,407000,SUCCESS,EV-009
O-00319,C-00982,Phan Van Dung,2026-06-19,4259000,SUCCESS,EV-010
O-00320,C-00503,Pham Van Thanh,2026-07-15,3846000,SUCCESS,EV-010
O-00321,C-00679,Nguyen Van Hieu,2026-06-21,4896000,SUCCESS,EV-003
O-00322,C-00442,Dang Van Thanh,2026-06-27,2408000,SUCCESS,EV-001
O-00323,C-01463,Bui Van Nam,2026-07-01,2291000,SUCCESS,EV-005
O-00324,C-00794,Hoang Van Trung,2026-07-15,1494000,SUCCESS,EV-005
O-00325,C-00851,Pham Van Hieu,2026-07-09,2057000,SUCCESS,EV-007
O-00326,C-00600,Tran Van Anh,2026-07-17,3222000,SUCCESS,EV-008
O-00327,C-01561,Pham Van Son,2026-06-24,1562000,SUCCESS,EV-006
O-00328,C-00320,Pham Van Phuc,2026-07-17,487000,SUCCESS,EV-003
O-00329,C-00255,Vu Van Cuong,2026-06-19,2605000,SUCCESS,EV-006
O-00330,C-01545,Le Van Quang,2026-07-01,4387000,SUCCESS,EV-010
O-00331,C-00772,Hoang Van Linh,2026-07-15,2435000,SUCCESS,EV-008
